City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
4,Aguimes,ES,74.66,27.9054,-15.4461,scattered clouds,Hotel Villa de Aguimes
20,Rikitea,PF,72.52,-23.1203,-134.9692,clear sky,People ThankYou
23,Bamberg,DE,73.83,49.8795,10.8863,overcast clouds,ibis Bamberg Altstadt
27,Cape Town,ZA,74.08,-33.9258,18.4232,clear sky,"Radisson Blu Hotel Waterfront, Cape Town"
30,Karratha,AU,73.74,-20.7377,116.8463,clear sky,ibis Styles Karratha
33,Namibe,AO,74.48,-15.1961,12.1522,clear sky,Hotel Chik Chik Namibe
73,Mount Isa,AU,74.97,-20.7333,139.5,light rain,ibis Styles Mt Isa Verona
138,Seoul,KR,72.84,37.5683,126.9778,clear sky,LOTTE HOTEL SEOUL
157,Winchester,GB,74.68,51.0651,-1.3187,scattered clouds,Lainston House
234,Carballo,ES,74.62,43.213,-8.691,broken clouds,Pazo do Souto
256,Atambua,ID,73.8,-9.1061,124.8925,broken clouds,Kost Alfa Flat
271,Poum,NC,73.29,-20.2333,164.0167,broken clouds,
294,Port Hawkesbury,CA,73.89,45.6169,-61.3485,broken clouds,MacKenzie House Tourist Home B&B
299,Ritchie,ZA,74.19,-29.038,24.6028,clear sky,Riverside Country Club Modderrivier
301,Ahuimanu,US,74.91,21.4447,-157.8378,clear sky,Paradise Bay Resort
339,Lengshuijiang,CN,73.18,27.6881,111.4294,overcast clouds,Sheraton
345,Stephenville,US,74.25,32.2207,-98.2023,overcast clouds,La Quinta Inn & Suites by Wyndham Stephenville
365,Fairview,US,74.23,40.8126,-73.999,clear sky,Homewood Suites by Hilton Edgewater-NYC Area
375,Pochutla,MX,74.82,15.7432,-96.4661,overcast clouds,Hotel Posada San Jose
378,La Mata,PA,74.98,8.0833,-80.8833,overcast clouds,Black Lion Inn
390,Makakilo City,US,73.72,21.3469,-158.0858,clear sky,Marriott's Ko Olina Beach Club
413,Mayo,US,74.98,38.8876,-76.5119,clear sky,Resorts Resource Group International
426,Puerto Madero,MX,73.6,14.7208,-92.4215,scattered clouds,DEPARTAMENTOS LA ESTANCIA
440,Saiha,IN,73.98,22.4833,92.9667,light rain,"Circuit House, Siaha"
456,Warwick,US,74.01,41.7001,-71.4162,broken clouds,Hampton Inn & Suites Providence/Warwick-Airport
464,Marga,RO,73.36,45.5,22.5167,broken clouds,PensiuneaAlexMarga
474,Altay,CN,73.65,47.8667,88.1167,clear sky,Jinqiao Hotel
483,La Rioja,ES,74.98,42.25,-2.5,broken clouds,Casa Concejos
484,Somerset,US,73.11,40.5668,-74.5496,clear sky,Hilton Garden Inn Bridgewater
501,Essex,US,73.45,40.7834,-74.2163,few clouds,HAYWARD
506,Greenville,US,74.12,35.6127,-77.3663,clear sky,"Holiday Inn Express Greenville, an IHG Hotel"
507,Nantucket,US,73.99,41.2835,-70.0995,heavy intensity rain,Jared Coffin House
514,Olinda,BR,74.93,-8.0089,-34.8553,broken clouds,Flat Quatro Rodas Olinda
534,Alyangula,AU,73.44,-13.8483,136.4192,clear sky,Groote Eylandt Lodge
537,Karagaylinskiy,RU,73.35,54.172,86.5521,scattered clouds,
558,Westport,US,74.07,41.1415,-73.3579,clear sky,The Westport Inn
574,Dalen,NL,73.89,52.6992,6.7556,scattered clouds,Coevorden Castle
577,Yining,CN,74.12,29.0361,114.5636,overcast clouds,Xiushui Hotel
579,Camacari,BR,74.97,-12.6975,-38.3242,overcast clouds,SÃ­tio Blasi
582,Margate,GB,72.9,51.3813,1.3862,clear sky,Premier Inn Margate hotel
607,Katobu,ID,74.37,-4.9408,122.5276,scattered clouds,La Ode Husein
637,Camalu,MX,72.36,30.85,-116.0667,clear sky,La Cueva del Pirata
654,Atherton,GB,74.21,53.5237,-2.4935,broken clouds,The Mercury Motel
